size,material,price_usd,visible
A1 | 59.4x84.07 cm,Print Only,66.50,true
A1 | 59.4x84.07 cm,Fine Art Paper,169.00,true
A1 | 59.4x84.07 cm,Canvas Ready to Hang,24.30,false
A1 | 59.4x84.07 cm,White Framed Canvas,24.30,false
A1 | 59.4x84.07 cm,Black Framed Canvas,24.30,false
A1 | 59.4x84.07 cm,Brown Framed Canvas,24.30,false
A1 | 59.4x84.07 cm,Fine Art White Frame,24.30,false
A1 | 59.4x84.07 cm,Fine Art Black Frame,24.30,false
A1 | 59.4x84.07 cm,Fine Art Brown Frame,24.30,false
A2 | 42x59.4 cm,Print Only,32.80,true
A2 | 42x59.4 cm,Fine Art Paper,136.20,true
A2 | 42x59.4 cm,Canvas Ready to Hang,24.30,false
A2 | 42x59.4 cm,White Framed Canvas,24.30,false
A2 | 42x59.4 cm,Black Framed Canvas,24.30,false
A2 | 42x59.4 cm,Brown Framed Canvas,24.30,false
A2 | 42x59.4 cm,Fine Art White Frame,24.30,false
A2 | 42x59.4 cm,Fine Art Black Frame,24.30,false
A2 | 42x59.4 cm,Fine Art Brown Frame,24.30,false
A3 | 29.7x42 cm,Print Only,4.70,true
A3 | 29.7x42 cm,Fine Art Paper,76.84,true
A3 | 29.7x42 cm,Canvas Ready to Hang,24.30,false
A3 | 29.7x42 cm,White Framed Canvas,24.30,false
A3 | 29.7x42 cm,Black Framed Canvas,24.30,false
A3 | 29.7x42 cm,Brown Framed Canvas,24.30,false
A3 | 29.7x42 cm,Fine Art White Frame,24.30,false
A3 | 29.7x42 cm,Fine Art Black Frame,24.30,false
A3 | 29.7x42 cm,Fine Art Brown Frame,24.30,false
A4 | 21x29.7 cm,Print Only,37.85,true
A4 | 21x29.7 cm,Fine Art Paper,47.00,true
A4 | 21x29.7 cm,Canvas Ready to Hang,24.30,false
A4 | 21x29.7 cm,White Framed Canvas,24.30,false
A4 | 21x29.7 cm,Black Framed Canvas,24.30,false
A4 | 21x29.7 cm,Brown Framed Canvas,24.30,false
A4 | 21x29.7 cm,Fine Art White Frame,24.30,false
A4 | 21x29.7 cm,Fine Art Black Frame,24.30,false
A4 | 21x29.7 cm,Fine Art Brown Frame,24.30,false
A5 | 14.8x21 cm,Print Only,36.60,true
A5 | 14.8x21 cm,Fine Art Paper,27.30,true
A5 | 14.8x21 cm,Canvas Ready to Hang,24.30,false
A5 | 14.8x21 cm,White Framed Canvas,24.30,false
A5 | 14.8x21 cm,Black Framed Canvas,24.30,false
A5 | 14.8x21 cm,Brown Framed Canvas,24.30,false
A5 | 14.8x21 cm,Fine Art White Frame,24.30,false
A5 | 14.8x21 cm,Fine Art Black Frame,24.30,false
A5 | 14.8x21 cm,Fine Art Brown Frame,24.30,false
"4""x6"" | 10x15 cm",Print Only,24.30,true
"4""x6"" | 10x15 cm",Fine Art Paper,21.42,true
"4""x6"" | 10x15 cm",Canvas Ready to Hang,107.90,false
"4""x6"" | 10x15 cm",White Framed Canvas,24.30,false
"4""x6"" | 10x15 cm",Black Framed Canvas,24.30,false
"4""x6"" | 10x15 cm",Brown Framed Canvas,24.30,false
"4""x6"" | 10x15 cm",Fine Art White Frame,24.30,false
"4""x6"" | 10x15 cm",Fine Art Black Frame,24.30,false
"4""x6"" | 10x15 cm",Fine Art Brown Frame,24.30,false
"5""x7"" | 13x18 cm",Print Only,30.80,true
"5""x7"" | 13x18 cm",Fine Art Paper,27.30,true
"5""x7"" | 13x18 cm",Canvas Ready to Hang,43.40,false
"5""x7"" | 13x18 cm",White Framed Canvas,24.30,false
"5""x7"" | 13x18 cm",Black Framed Canvas,24.30,false
"5""x7"" | 13x18 cm",Brown Framed Canvas,24.30,false
"5""x7"" | 13x18 cm",Fine Art White Frame,24.30,false
"5""x7"" | 13x18 cm",Fine Art Black Frame,24.30,false
"5""x7"" | 13x18 cm",Fine Art Brown Frame,24.30,false
"6""x9"" | 15x23 cm",Print Only,31.50,true
"6""x9"" | 15x23 cm",Fine Art Paper,34.50,true
"6""x9"" | 15x23 cm",Canvas Ready to Hang,186.00,false
"6""x9"" | 15x23 cm",White Framed Canvas,24.30,false
"6""x9"" | 15x23 cm",Black Framed Canvas,24.30,false
"6""x9"" | 15x23 cm",Brown Framed Canvas,24.30,false
"6""x9"" | 15x23 cm",Fine Art White Frame,24.30,false
"6""x9"" | 15x23 cm",Fine Art Black Frame,24.30,false
"6""x9"" | 15x23 cm",Fine Art Brown Frame,24.30,false
"8""x10"" | 20x25 cm",Print Only,36.60,true
"8""x10"" | 20x25 cm",Fine Art Paper,47.00,true
"8""x10"" | 20x25 cm",Canvas Ready to Hang,26.00,true
